1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm1095931,Betty Corday,,,"executive producer (4,925 episodes, 1966-2014)",female,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm3436426,Helen Hall,,,"associate producer / assistant producer (1,473 episodes, 1976-1981)",female,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0381246,Jack Herzberg,,,"producer / associate executive producer / assistant executive producer (3,421 episodes, 1965-2014)",male,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm1713445,Michael Robert David,,"(12 episodes, 1976-1984)",,male,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0546068,Ann Marcus,,"(479 episodes, 1977-1979)",,female,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0179413,Ted Corday,,"(co-creator) (3 episodes, 1965-2006)",,male,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0989955,Patricia Falken Smith,,"(624 episodes, 1968-2014)",,female,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0972383,Allan Chase,,"(co-creator) (3 episodes, 1965-2006)",,male,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0680460,Irna Phillips,,"(co-creator) (292 episodes, 1965-2006)",,unknown,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0462097,Gail Kobe,,,"assistant producer (197 episodes, 1975-2014)",mostly_female,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0448508,Wes Kenney,,,"producer / executive producer (2,323 episodes, 1967-2013)",male,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0425166,Grant A. Johnson,"(339 episodes, 1975-2019)",,,male,[]
1977,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0068589,William J. Bell,,"(2,694 episodes, 1966-2014)",,male,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0655197,Frank Pacelli,"(9 episodes, 1966-1980)",,,male,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0066875,Joseph Behar,"(23 episodes, 1965-1987)",,,male,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0704888,Al Rabin,,,"executive producer / supervising executive producer / producer (1,465 episodes, 1975-2014)",male,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm1095931,Betty Corday,,,"executive producer (4,925 episodes, 1966-2014)",female,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm3436426,Helen Hall,,,"associate producer / assistant producer (1,473 episodes, 1976-1981)",female,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0381246,Jack Herzberg,,,"producer / associate executive producer / assistant executive producer (3,421 episodes, 1965-2014)",male,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm1713445,Michael Robert David,,"(12 episodes, 1976-1984)",,male,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0546068,Ann Marcus,,"(479 episodes, 1977-1979)",,female,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0179413,Ted Corday,,"(co-creator) (3 episodes, 1965-2006)",,male,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0989955,Patricia Falken Smith,,"(624 episodes, 1968-2014)",,female,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0972383,Allan Chase,,"(co-creator) (3 episodes, 1965-2006)",,male,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0680460,Irna Phillips,,"(co-creator) (292 episodes, 1965-2006)",,unknown,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0462097,Gail Kobe,,,"assistant producer (197 episodes, 1975-2014)",mostly_female,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0448508,Wes Kenney,,,"producer / executive producer (2,323 episodes, 1967-2013)",male,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0425166,Grant A. Johnson,"(339 episodes, 1975-2019)",,,male,[]
1978,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0068589,William J. Bell,,"(2,694 episodes, 1966-2014)",,male,[]
1979,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0655197,Frank Pacelli,"(9 episodes, 1966-1980)",,,male,[]
1979,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0179407,Ken Corday,,,"executive producer / producer / assistant producer / associate producer / co-executive producer (5,570 episodes, 1979-2019)",male,[]
1979,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0066875,Joseph Behar,"(23 episodes, 1965-1987)",,,male,[]
1979,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm0704888,Al Rabin,,,"executive producer / supervising executive producer / producer (1,465 episodes, 1975-2014)",male,[]
1979,tt0058796,Days of Our Lives,(1965– ),"
Drama, Romance            ",4,0,nm1095931,Betty Corday,,,"executive producer (4,925 episodes, 1966-2014)",female,[]
