2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0008971,Phil Abraham,"(11 episodes, 2013-2019)",,,male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm2284959,Jim Danger Gray,,"(3 episodes, 2015-2016)","producer / supervising producer (18 episodes, 2015-2016)",male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0376006,Anthony Hemingway,"(1 episode, 2015)",,,male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0872841,Michael Trim,"(11 episodes, 2013-2019)",,,male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1571761,Sian Heder,,"(19 episodes, 2013-2015)","co-producer (13 episodes, 2015)",female,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0463176,Jenji Kohan,,"(created by) (91 episodes, 2013-2019)","executive producer (91 episodes, 2013-2019)",unknown,['Nom. Outstanding Drama Series 2015']
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0003802,Uta Briesewitz,"(4 episodes, 2013-2017)",,,female,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0000530,Andrew McCarthy,"(15 episodes, 2013-2019)",,,male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5246353,Piper Kerman,,"(43 episodes, 2013-2016)",,female,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5615332,Nick Jones,,"(21 episodes, 2013-2016)","co-producer / producer (26 episodes, 2015-2016)",male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm7264226,Jordan Harrison,,"(28 episodes, 2015-2017)",,male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0673400,Jesse Peretz,"(2 episodes, 2015-2017)",,,male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5551149,Lauren Morelli,,"(25 episodes, 2013-2017)","co-executive producer / co-producer / producer (39 episodes, 2015-2017)",mostly_female,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5207499,Alex Regnery,,"(2 episodes, 2014-2016)",,male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1455688,Julie Anne Robinson,"(1 episode, 2015)",,,female,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm3612790,Tara Herrmann,,"(6 episodes, 2013-2017)","executive producer / co-executive producer / co-producer / producer (91 episodes, 2013-2019)",female,['Nom. Outstanding Drama Series 2015']
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm3266399,Hartley Voss,,"(2 episodes, 2014-2016)",,unknown,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0122140,Mark A. Burley,"(5 episodes, 2015-2019)",,"co-executive producer / consulting producer / executive producer (91 episodes, 2013-2019)",male,['Nom. Outstanding Drama Series 2015']
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0538744,Constantine Makris,"(10 episodes, 2013-2019)",,,mostly_male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0899021,Lisa Vinnecour,,,"co-executive producer / executive producer (91 episodes, 2013-2019)",female,['Nom. Outstanding Drama Series 2015']
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1980806,Matthew Weiner,"(1 episode, 2016)",,,male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1536585,Arturo Guzman,,,"co-producer / associate producer (78 episodes, 2014-2019)",male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0002835,Adam Bernstein,"(1 episode, 2016)",,,male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0002973,Lev L. Spiro,"(1 episode, 2016)",,,male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0849598,Neri Kyle Tannenbaum,,,"co-executive producer / producer / executive producer (91 episodes, 2013-2019)",male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1802607,Sara Hess,,"(8 episodes, 2013-2016)","co-executive producer / executive producer (52 episodes, 2013-2016)",female,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0696856,David Price,,,"producer / co-producer (52 episodes, 2016-2019)",male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0008971,Phil Abraham,"(11 episodes, 2013-2019)",,,male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm2284959,Jim Danger Gray,,"(3 episodes, 2015-2016)","producer / supervising producer (18 episodes, 2015-2016)",male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm2451007,Erin Feeley,"(4 episodes, 2016-2019)",,,mostly_female,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0872841,Michael Trim,"(11 episodes, 2013-2019)",,,male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0463176,Jenji Kohan,,"(created by) (91 episodes, 2013-2019)","executive producer (91 episodes, 2013-2019)",unknown,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0110644,Tricia Brock,"(1 episode, 2016)",,,female,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0003802,Uta Briesewitz,"(4 episodes, 2013-2017)",,,female,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0000530,Andrew McCarthy,"(15 episodes, 2013-2019)",,,male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm4063230,Carly Mensch,,"(2 episodes, 2016)","supervising producer (13 episodes, 2016)",female,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5246353,Piper Kerman,,"(43 episodes, 2013-2016)",,female,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5615332,Nick Jones,,"(21 episodes, 2013-2016)","co-producer / producer (26 episodes, 2015-2016)",male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm7264226,Jordan Harrison,,"(28 episodes, 2015-2017)",,male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0673400,Jesse Peretz,"(2 episodes, 2015-2017)",,,male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5551149,Lauren Morelli,,"(25 episodes, 2013-2017)","co-executive producer / co-producer / producer (39 episodes, 2015-2017)",mostly_female,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5207499,Alex Regnery,,"(2 episodes, 2014-2016)",,male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm3612790,Tara Herrmann,,"(6 episodes, 2013-2017)","executive producer / co-executive producer / co-producer / producer (91 episodes, 2013-2019)",female,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm3266399,Hartley Voss,,"(2 episodes, 2014-2016)",,unknown,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0122140,Mark A. Burley,"(5 episodes, 2015-2019)",,"co-executive producer / consulting producer / executive producer (91 episodes, 2013-2019)",male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0538744,Constantine Makris,"(10 episodes, 2013-2019)",,,mostly_male,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1557328,Aimee Roth,,,"associate producer / co-producer (52 episodes, 2016-2019)",female,[]
2016,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0899021,Lisa Vinnecour,,,"co-executive producer / executive producer (91 episodes, 2013-2019)",female,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1536585,Arturo Guzman,,,"co-producer / associate producer (78 episodes, 2014-2019)",male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0007096,Wendey Stanzler,"(1 episode, 2017)",,,unknown,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0849598,Neri Kyle Tannenbaum,,,"co-executive producer / producer / executive producer (91 episodes, 2013-2019)",male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0696059,Laura Prepon,"(3 episodes, 2017-2019)",,,female,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0696856,David Price,,,"producer / co-producer (52 episodes, 2016-2019)",male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0008971,Phil Abraham,"(11 episodes, 2013-2019)",,,male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm7729221,Rebecca Angelo,,"(13 episodes, 2017)",,female,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm7729220,Lauren Schuker Blum,,"(13 episodes, 2017)",,mostly_female,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm2451007,Erin Feeley,"(4 episodes, 2016-2019)",,"producer (13 episodes, 2017)",mostly_female,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1977228,Carolina Paiz,,"(4 episodes, 2017-2019)","co-executive producer / executive producer / producer (39 episodes, 2017-2019)",female,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0872841,Michael Trim,"(11 episodes, 2013-2019)",,,male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0463176,Jenji Kohan,,"(created by) (91 episodes, 2013-2019)","executive producer (91 episodes, 2013-2019)",unknown,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm8531569,Josh Koenigsberg,,"(4 episodes, 2017)",,male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0003802,Uta Briesewitz,"(4 episodes, 2013-2017)",,,female,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0000530,Andrew McCarthy,"(15 episodes, 2013-2019)",,,male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm4030641,Molly Smith Metzler,,"(13 episodes, 2017)",,female,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm7264226,Jordan Harrison,,"(28 episodes, 2015-2017)","co-producer (13 episodes, 2017)",male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0762191,Nick Sandow,"(5 episodes, 2017-2019)",,,male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0673400,Jesse Peretz,"(2 episodes, 2015-2017)",,,male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5551149,Lauren Morelli,,"(25 episodes, 2013-2017)","co-executive producer / co-producer / producer (39 episodes, 2015-2017)",mostly_female,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm3612790,Tara Herrmann,,"(6 episodes, 2013-2017)","executive producer / co-executive producer / co-producer / producer (91 episodes, 2013-2019)",female,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0122140,Mark A. Burley,"(5 episodes, 2015-2019)",,"co-executive producer / consulting producer / executive producer (91 episodes, 2013-2019)",male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0538744,Constantine Makris,"(10 episodes, 2013-2019)",,,mostly_male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm6371396,Anthony Natoli,,"(39 episodes, 2017-2019)",,male,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1557328,Aimee Roth,,,"associate producer / co-producer (52 episodes, 2016-2019)",female,[]
2017,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0899021,Lisa Vinnecour,,,"co-executive producer / executive producer (91 episodes, 2013-2019)",female,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1536585,Arturo Guzman,,,"co-producer / associate producer (78 episodes, 2014-2019)",male,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1289832,Vera Santamaria,,"(2 episodes, 2018-2019)","co-executive producer (26 episodes, 2018-2019)",female,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1127337,Tami Sagher,,"(2 episodes, 2018-2019)","co-executive producer (26 episodes, 2018-2019)",female,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0849598,Neri Kyle Tannenbaum,,,"co-executive producer / producer / executive producer (91 episodes, 2013-2019)",male,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0696059,Laura Prepon,"(3 episodes, 2017-2019)",,,female,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm6554308,Kirsa Rein,,"(14 episodes, 2018-2019)",,unknown,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0696856,David Price,,,"producer / co-producer (52 episodes, 2016-2019)",male,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0008971,Phil Abraham,"(11 episodes, 2013-2019)",,,male,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm2451007,Erin Feeley,"(4 episodes, 2016-2019)",,,mostly_female,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1977228,Carolina Paiz,,"(4 episodes, 2017-2019)","co-executive producer / executive producer / producer (39 episodes, 2017-2019)",female,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0872841,Michael Trim,"(11 episodes, 2013-2019)",,,male,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1217103,Ludovic Littee,"(2 episodes, 2018-2019)",,,male,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1571761,Sian Heder,"(1 episode, 2018)",,,female,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0463176,Jenji Kohan,,"(created by) (91 episodes, 2013-2019)","executive producer (91 episodes, 2013-2019)",unknown,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm4977841,Heather Jeng Bladt,,"(14 episodes, 2018-2019)",,female,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0000530,Andrew McCarthy,"(15 episodes, 2013-2019)",,,male,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0762191,Nick Sandow,"(5 episodes, 2017-2019)",,,male,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0918853,Hilary Weisman Graham,,"(3 episodes, 2018-2019)","co-producer / producer (26 episodes, 2018-2019)",female,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm3612790,Tara Herrmann,,,"executive producer / co-executive producer / co-producer / producer (91 episodes, 2013-2019)",female,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0424800,Clark Johnson,"(1 episode, 2018)",,,male,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm3529149,Brian Chamberlayne,,"(4 episodes, 2018-2019)","co-executive producer / supervising producer (26 episodes, 2018-2019)",male,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0122140,Mark A. Burley,"(5 episodes, 2015-2019)",,"co-executive producer / consulting producer / executive producer (91 episodes, 2013-2019)",male,[]
2018,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0538744,Constantine Makris,"(10 episodes, 2013-2019)",,,mostly_male,[]
